year,region,tags,title,background,content,effect
2020,서울특별시 성북구,청년 교육,"새로운 언택트시대, 청소년의 꿈이 현실이 되는 성북구 아동청소년 참여예산제 운영","코로나19로 숙의와 공론이라는 참여예산제의 핵심가치 실현에 한계에 봉착함
청소년들의 정치 참여 보장이 요구됨","성북구 아동청소년 참여예산제 사업 시행을 통해 청소년의 제안이 현실이 되는 공식적인 창구를 운영함
청소년 참여위원회 24명이 총 21건 의제를 발굴 및 제출함
최종 사업 6건(1억 5백만 원)에 대해 2021 성북구 예산 반영을 완료함","청소년의 민주시민 의식 함양에 기여함
청소년 참여활동을 대표하는 기구로 권한과 참여에 대해 제도화함"
2020,서울특별시 성북구,복지 교통,"장애인 복지관 가는길에 멈추어 선 장애인, 장애없는 보행권을 보장해주세요","성북장애인 복지관 앞에 위치한 육교에는 엘리베이터가 없어 계단을 이용하기 어려웠음
노약자 및 장애인 등 교통약자는 멀리 떨어진 횡단보도를 이용해야 하는 등 불편함이 존재함","시민참여예산을 300백만 원을 편성함
서울시 도시디자인위원회 디자인 심의를 완료함
엘리베이터 2대 설치 및 주변 환경을 정비함","보도 육교에 엘리베이터 설치를 통해 복지관 이용객의 접근성을 향상시킴
교통약자의 이동 편의를 증진함
주변 환경 개선을 통한 쾌적한 보행환경을 조성함"
2021,서울특별시 성북구,교육,미래 통일세대를 위한 청년 통일콘텐츠전문가 양성 사업,"한국에 거주하는 북한이탈주민의 증가로 사회통합을 위한 인식개선, 정착지원의 필요성이 대두됨에 따라 정착지원 전문가를 양성하고 지속 가능한 청년일자리를 창출하고자 함","통일 전문기관과 연계하여 지역정착을 위한 일자리 제공, 계약 종료 후 정규직 취업 및 정착을 지원함 
북한 이탈 청소년들의 브이로그(유튜브) 등 관련 콘텐츠 제작, 동독, 서독, 남한, 북한 청년들이 진행하는 '동서남북국제워크캠프'를 진행함 
북한이탈 청소년아동복지시설과 연계하여 북한이탈주민 정착지원전문관리사(민간자격) 양성 교육을 실시함",사각지대 청년 지원사업과 연계하여 사업의 안정성을 확보하고 '청년구술생애사'(자서전형식의 서적) 출간을 통해 참여 청년들에게 구술자 및 저자로 활동 기회를 제공함
2019,서울특별시 중랑구,교통,"(서울 중랑) 전국최초, 시민생활 맞춤형 ｢공유생활마을지도｣로 주민과 소통한다.","긴급 상황 시 비상대피시설, 여성안심귀갓길 등 신속한 대처를 위한 안전시설물 및 편익시설물의 위치정보 제공이 필요함
기존 책자형 도로명주소 안내도는 실생활 필수정보가 부족하여 1~2번 사용 후 방치되는 경우가 많아 최신 정보가 수록된 공유생활지도 제작을 추진함",TF팀 구성 및 협업으로 경제·복지·안전·의료의 4개 테마별로 공유생활정보를 다기능화하여 개선 사업을 시행함,"전국 최초로 일상에 필요한 실생활 정보를 테마별로 제공하는 '공유생활마을지도'를 제작하여 주민 편의를 극대화함
또한 공공기관마다 주민 생활불편 민원해소에 활용함"
2019,서울특별시 중랑구,교육 복지,장애인 특수학교 (가칭 :동진학교) 설립,장애인 특수학교 설립을 위해 협업을 추진함,"신내동 700번지 일대 특수학교 복합시설 설립을 위하여 서울특별시 교육청과 중랑구가 교량, 문화체육복합시설 분담금, 그린벨트 변경 계획 관련 등의 협업을 진행함","장애학생의 원거리통학 불편을 해소하고 양질의 특수교육 서비스를 제공할 것으로 기대함
시설 복합화로 특수교육뿐만 아니라 체육‧문화‧평생교육‧직업훈련 등의 기능을 갖추어 지역주민과 상생하는 복합문화공간을 조성함
특수학교 졸업 후 생활‧경제‧교육 사각지대에 놓이는 장애인을 위한 평생돌봄 체계의 기반을 마련함"
2019,서울특별시 중랑구,교육 청년,양원지구 초등학교 설립 관련 시설복합화 추진,"동부교육지원청 주관, 중랑구 및 LH공사의 협업으로 양원지구 내 초등학교 설립 관련 시설복합화를 추진함","2017년 교육부 중앙투자심사를 재검토하여 지역사회와 연계한 시설복합화 계획을 수립함
분담금 지원 및 학교 개교 후 필요시 교육경비지원 등 시설복합화를 위한 특수학급 추가 및 지자체 협력방안을 마련함","업무협약을 통해 사업비를 분담하여 재원을 마련함
양원지구에 입주예정인 3,216 가구원들의 학교 수요를 충족시키고, 전 학년 아동 대상 온종일 돌봄센터 운영 및 다목적 체육관 건립으로 지역 주민 삶의 질이 개선될 것으로 기대함"
2019,서울특별시 중랑구,복지,민관이 함께 하는 중랑구 정신과적 응급대응 협의체 운영,"정신질환자에 의한 사건 및 정신과적 각종 사고가 사회문제로 대두함에 따라, 구민의 안전을 도모하기 위하여 정신과적 응급상황에 효과적으로 대응할 수 있는 지역사회 대응체계 구축이 필요함","정신과적 응급상황에 효과적인 대응을 위해 정신건강복지센터, 경찰·소방, 의료기관으로 구성된 중랑구 정신응급대응 민·관협의체를 운영함","관련 기관들의 정보 및 문제점 공유로 서로 몰랐던 부분에 대한 이해도를 높이고 협조를 할 수 있는 기회를 제공함
상호 간 역할과 분담에 대한 명확한 체계 정립과 협업 강화 방안을 도출할 수 있는 기틀을 마련함"
2019,서울특별시 중랑구,교통,"서울 최대 공영주차장 조성(1,008면)","중랑구는 서울시 25개 자치구 중 주차수급률이 최하위이며, 그중에서도 면목동(89.2%)이 최하위로 3,000면의 주차면이 부족한 실정임
대형주차장 건설을 위한 부지 매입 및 조성 비용에 대한 재정부담이 크다는 것이 문제해결의 걸림돌이 됨","중랑구는 홈플러스 주차장을 공영주차장으로 전환하자는 아이디어를 발굴·제안함
서울시의 면목수유지 및 홈플러스의 주차장 운영권을 중랑구로 위탁하도록 협업을 추진하여, 면목유수지 복개시설물(면적 59,665㎡)을 활용한 공영주차장을 조성함","공간 효율성 제고와 규모의 경제를 실현함
거주민 주차난 해소 및 주차수급률을 대폭 향상함
통합공사 시행 및 통합운영에 따른 예산절감 효과를 가져옴"
2020,서울특별시 중랑구,교통,나눔주차 확산을 통한 공유가치 창출,"노후 단독주택 비중이 높은 주거형태로 구성되어 있어 단독주택 지역 주차난이 심각한 상황임
자치구 중 면적대비 높은 인구밀도를 보임","민관기관, 공영주차장, 쏘카, 그린카 등과 협업하여 관내 공영주차장 확대, 선사용 후불제 등을 도입함 
상업지역, 주차장 부재자 지역, 인구 유동 활성화 지역 등을 선정하여 공실 주차구획을 공유하여 사용할 수 있도록 협업 체계를 구축함 
간담회를 주최하여 이용 편의 제고방안, 효율적인 운영방안, 주민 불편 해소 방안 등을 적극적으로 논의함","스마트폰 앱(App) 또는 전화(ARS) 한 통화로 이용 및 결제 가능하도록 함
협력 업체의 경우 기업 홍보에 따른 가치 상승효과, 공유사업 사회적 이미지 제고, 수익 증대 등의 효과를 거둠 
공실 주차장을 활용한 수입 창출과 가점부여에 따른 정기 배정률 상향, 근거리 나눔카 접근성 상향 효과를 누림"
2024,서울특별시 마포구,교통 문화,"세계적인 관광지로의 도약, 홍대 레드로드 조성","장기화된 코로나19로 침체된 지역상권 활성화 방안 마련 시급해짐
소비‧유흥 위주로 변색된 홍대지역 고유의 정체성 회복 필요성 증가됨
개별여행객 증가에 맞춘 캐릭터 개발 등 체험 위주의 패러다임을 전환함
이태원 인파사고 후 도심지 내 다중인파 밀집지역의 안전관리 중요성 대두","보행자 중심의 안전한 관광특화거리 레드로드를 조성함
거리 문화예술을 위한 공간 재구성 및 노후 시설물 정비함
스마트 인파관리시스템 도입, 레드로드 BI와 캐릭터 홍보, 축제 및 콘텐츠 개발, '레드로드 버스커 선발대회, 세계스카우트잼버리 레드로드 버스킹 행사와 같은 국내외 행사를 유치하고 지원함","외국인 관광객 수 및 관광 만족도 증가함
코로나 펜데믹으로 침체된 지역 상권 활성화됨
아시아도시경관상 등 국제상 수상 등으로 세계적인 위상 확인함
대만 가오슝시, 스리랑카, 부산 남구 등 벤치마킹 및 취재 방문 요청이 쇄도"
2023,서울특별시 마포구,문화,"민관이 모두 모여 조성하다, 국내 최초의 ESG 새활용 운동장 「모두의 운동장」","민간기업과의 ESG 협력체계 구축을 통한 상호 혁신 추진 필요성이 증대됨
모두의학교가 위치한 독산동 지역은 체육시설 인프라가 부족하고 모두의학교의 운동장시설 역시 노후화됨
전 세대 서울시민들이 함께 이용·참여할 수 있는 생활체육 프로그램 운영 공간이 미비함","서울특별시 평생교육진흥원(공공)-나이키 코리아(기업)-초록우산 어린이재단(민간)은 「모두의 운동장」 조성을 위한 업무협약을 체결함
폐의류와 신발을 운동장 시설 소재로 새활용하여 ESG 친환경 운동장을 조성함
놀이 활동 및 산책 등 생활체육 증진을 위한 공간을 조성하고 높낮이가 다른 농구 골대 설치 등 신체적 약자를 위한 맞춤형 운동장을 조성함
초등학생 대상 신체활동 증진 프로그램, 4050 여성 대상 축구 프로그램 등 신체적 약자 대상 신체활동 프로그램을 운영함","민관이 함께 지속가능성·ESG 친환경을 특성화한 창의적인 공간을 조성함
시설조성 공사비·프로그램 운영비 민간후원을 통해 경영효율성이 증진됨
상대적 낙후지역 생활체육시설 인프라 부족 문제해결에 기여함"
2024,서울특별시 마포구,주거,민ㆍ관 협력으로 완성된 365 안전마포,"“안전은 과잉 대응이 기본”이라는 기조를 바탕으로, 대응보다 예방 중심의 재난관리체계 구축 필요성이 제기됨
이전 사고 사례를 계기로 연말연시 및 축제 기간의 인파밀집 지역에서 선제적 안전대책이 요구됨
주민이 직접 안전을 지킨다는 인식을 확산시키고, 민·관 협력을 통한 실질적인 안전문화 활동이 필요함","'구민 생명 최우선'의 기조를 반영한 조직개편으로 '구민안전과'를 신설해 전문성을 강화함
'재난안전상황실' 개소하여 재난‧재해 및 범죄 등의 각종 사고를 통합‧관리함
홍대 주변 6개 구역에 전국 최초, 자체 개발한 AI 인파밀집분석시스템을 구축함","재난대응 조직을 구축해 유기적인 상황공유체계를 유지함으로써 재난 예방 및 대응 태세를 유지함
안전 유관기관, 민간단체 등 모두가 함께하는 안전문화 활동을 통해 사고 없는 안전 마포를 유지함
지역 특색을 고려한 선제적인 스마트 기술(AI)을 활용하여 빈틈없는 안전문화를 정착시킴
안전한 환경을 조성함으로써 외래인의 관광 만족도 및 관광객 수 증대에 기여함"
2022,서울특별시 마포구,주거,주거 취약계층을 위한 기본생활 보장 ‘마포 하우징’(서울 마포구),"고시원, 숙박업소 등에 거주하는 최저주거기준 미달 가구에 대한 주거안정과 주거수준을 향상할 필요가 있었음
중앙정부 차원의 공공임대주택이 있지만, 지역 수요에 비해 공급이 부족할뿐더러, 주거비 부담
상승으로 주거위기 및 취약가구의 주거안정과 주거수준 향상을 위한 자체적인 지원체계가 매우 필요했음","마포구는 ‘마포 하우징’ 사업을 시행해서 주거위기 가구와 저소득층 주거 취약가구를 대상으로 긴급 주거위기 가구의 주거안정을 위한 임시거소를 운영하고 있음
주거 취약가구에 주거안정자금을 융자 또는 지원하거나 매입 임대주택을 확보해서 입주자를 모집하고 있음","활발한 사업 추진으로 애초 목표인 ‘마포 하우징’ 95개소를 초과 달성하여 현재 106개소가 확보된 상태임
LH공사와 협의해서 ‘마포형 케어 안심 주택’ 23개소를 추가로 확보할 예정이며, 임시거소 추가 확보 등 향후 3년에서 4년 이내에 130개소에서 150개소의 ‘마포 하우징 주택’을 운영하여 종합적인 주거복지서비스를 지원할 계획임"
2021,서울특별시 마포구,주거,재난사전예방으로 안전한 공단 만들기 - PMS 시스템 구축 -,"현장 점검, PC접속, 전자결재시스템 접속, 고장 보고, 장비 이력 카드 작성 등의 시설관리 업무를 번거로운 과정을 거쳐 수행해야 함
바다 위에서 군함의 시설 장비가 고장인 경우 이를 정비하기 어려운 상황이 발생함
각 설비에 적합한 점검 항목이 명시된 매뉴얼 보급이 요구됨","계획된 예방 정비 제도(planned maintenance system) : PMS 를 도입함
매일 점검이 필요한 장소에 QR코드를 부착하고 스마트폰으로 QR코드를 스캔하여 일일 예방 점검 일지를 작성할 수 있도록 함 
현장별로 점검 대상과 점검일을 지정 운영하고, 주기적 알림을 설정하여 모바일로 현장 직원에게 알림 메시지를 보내 점검 누락을 방지함","현장에서 자료입력 후 자동으로 이력관리, 보고서 작성이 가능해져 업무 효율성이 향상됨
안전사고 발생이 50% 감소, 건축물 평균수명을 연장, 유지관리 비용 절감 등의 효과를 거둠"
2023,서울특별시 서대문구,주거,스마트폰 지문식별 시스템 개발로 요구호자 보호와 현장 대응력 향상을 동시에,"요구호자 신원을 확인하려면 3시간에서 길게는 2일까지 소요되어 빠른 보호 및 인계가 어려웠음
또한 경찰은 요구호자 신원확인 업무로 발이 묶여 업무 효율성이 떨어지는 문제가 발생함","모바일 기반 지문인식 신원확인 시스템을 개발하여 5분 이내에 신원 확인이 가능하도록 함
개발 단계에서 현장 경찰 출신인 본청 담당자가 현장경찰 및 본청 활용부서, 연구진 간 가교역할을 수행함","빠른 신원확인으로 신속한 보호 및 치료 가능 및 다른 국민의 생명, 신체 보호업무로 신속전환이 가능해짐
시스템 개발 및 통합관리 시스템을 완성하여 효율적으로 업무 관리가 가능해졌으며 R&D에 대한 인식도 긍정적으로 개선함"
2022,서울특별시 서대문구,복지,독거 어르신께 따뜻한 온정을 들려드리는 오디오북 서비스 「은은한 북소리」,"지식정보취약계층을 위한 사회적 포용 실천을 도서관 핵심과제로 설정함
지식정보취약계층을 위한 다년간의 서비스를 운영하면서 기존 서대문구도시관리공단(서대문구립도서관)의 취약계층 대상 서비스가 갖는 한계를 인식함
보다 체계적이고 전문화된 서비스 운영을 위한 방안 마련에 대한 고민을 갖게됨","서대문구 관내의 지식정보취약계층(노인, 장애인, 다문화) 대상으로 서비스를 제공하고 있는 전문 기관들과 업무협약 실시 및 지역협의체 결성을 추진함
각 기관이 가진 전문성을 확보하여 협력을 통해 새로운 서비스 모델을 구현함
지식정보취약계층 실태조사 및 도서관 서비스 개발 연구를 실시함
독거어르신을 위한 오디오북 서비스 '은은한 북소리'를 운영함
평소 주위의 도움을 직접 받기 어려운 독거어르신의 환경을 고려하여 기존 오디오북 서비스의 문제점을 분석하여 독거어르신을 위한 전용 오디오북 앱 신규 개발함
독거어르신 서비스 복지 기관과 함께 오디오북 단말기를 배포함","서대문구의 지식정보취약계층(노인, 장애인, 다문화) 대상으로 서비스를 제공하고 있는 사회복지시설 9개 기관과 지역협의체를 결성함
민간기업과의 협약으로 오디오북 앱 개발 비용 20,000천원 예산 절감 효과를 거둠
2021년 6월부터 12월까지 7개월 간 독거어르신들이 이용한 오디오북 이용통계 분석 결과, 높은 이용률을 확인함"
2019,서울특별시 서대문구,교육 복지,"천천히, 자유롭게 만나는 학교 밖 배움터! 달팽이학교","입시중심 정책에서 소외되는 위기학생이 증가하고 있으나, 교원의 업무과다, 교권침해 등의 문제로 학교에서도 더 이상 학생 관리를 온전히 담당할 수 없게 되면서 학교와 가족을 넘어 사회가 함께 교육을 책임질 필요성이 증가함",학교생활에 지친 학생들이 학교 밖 마을 배움터에서 다양한 주체들과 교감을 통해 새로운 삶의 경험치를 만들어가는 '달팽이 학교'를 운영함,"마을 공동 공간을 발굴하고 아이들이 즐겁게 몰입하는 체험형 프로그램을 기획함에 따라 학교만의 힘으로 어려운 부분을 다양한 주체와 협업을 통해 성공적으로 해소했다는 호평을 받음 
참여희망 학교가 매년 증가하고 있으며, 학생, 선생님, 학부모 등 참여 주체 간 긍정적 관계 변화를 이끌어내는데 기여함"
2020,서울특별시 서대문구,교육 복지,"전국 최초 유아 전용 키즈헬스케어센터 「아이랑」 운영 구민회관, 아이랑 비상을 꿈꾸다","서대문 문화 체육 회관은 개관 25년이 넘은 노후시설로 시대 변화에 맞는 공간으로 재구성하고 적합한 컨텐츠를 제공할 필요성이  대두됨
저출산 문제에 대응하기 위해 보육기관 및 관내 어린이들을 위한 맞춤형 시설에 대한 필요가 커짐","서대문구 관내 보육기관 및 지역주민들과 간담회를 통해 아이랑 전용 셔틀버스, 맞춤형 체육활동 놀이 아이랑 첼린지, 영유아 전용 놀이터 등을 신설함 
수영장 휴관일을 활용하여 실내수영장에 어린이들을 위한 물놀이 기구를 비치하여 워터파크식 물놀이 공간을 제공함
산발적으로 진행하던 공연, 체육 프로그램, 체험행사를 중앙홀 공간에서 모두 즐길 수 있도록 축제 형식으로 통합 운영함","서대문 문화 체육 회관을 잘 알지 못하던 주민들도 관심이 높아져 전년대비 30% 이상 이용객 증가로 이어짐
외부기관 수상(한국경영인증원, 한국지방공기업학회), 전국 지방자치단체 벤치마킹 사례로 활용 및 모범사례로 제시됨"
2021,서울특별시 서대문구,청년 문화,거리가게와 청년이 상생하는 두근두근! 핫 플레이스 신촌 박스퀘어!,"이대 앞 거리가게로 인한 학생, 상인, 주민들의 보행로 이용불편에 대한 개선이 필요함
노상의 LPG 가스통 등으로 인한 안전 및 위생문제가 상존함
서울시 거리가게 허가제 가이드라인 운영에 한계가 있음","‘신촌 박스퀘어’를 조성하여 민 관 학 협력을 통한 지속가능성장 프로젝트를 추진함
총 43회의 거리가게 간담회 및 사업설명회를 통해 이대 앞 거리가게의 자영업자 전환을 추진함
역량 있는 청년창업가 모집 및 선발, 외식창업 인큐베이팅「청년키움식당」운영 등 공모를 통한 역량 있는 청년창업가를 양성함","25개 매장 ‘불법 거리가게’에서 ‘안정적인 자영업자’로 전환함
청년 창업자 31개 팀 53명 일자리를 창출함
코로나-19 확산 이전 대비 매출액이 최대 12배 증가함"
